City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Victoria,HK,22.2855,114.1577,69.24,86,100,4.0,overcast clouds
96,Fairbanks,US,64.8378,-147.7164,43.09,30,0,11.5,clear sky
97,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,85,9.66,light rain
98,Catuday,PH,16.2923,119.8062,79.0,69,9,7.65,clear sky
99,Hilo,US,19.7297,-155.09,82.27,71,40,11.5,scattered clouds
100,Xichang,CN,27.8964,102.2634,51.85,88,100,1.52,overcast clouds
101,Broken Hill,AU,-31.95,141.4333,50.07,72,0,6.29,clear sky
102,Jamestown,US,42.097,-79.2353,36.99,75,100,23.02,snow
103,Iqaluit,CA,63.7506,-68.5145,13.73,72,75,13.8,broken clouds
104,Tasiilaq,GL,65.6145,-37.6368,33.96,83,100,17.18,overcast clouds
105,Khatanga,RU,71.9667,102.5,-14.69,100,98,3.85,overcast clouds
106,East London,ZA,-33.0153,27.9116,68.34,82,70,9.26,broken clouds
107,Nouadhibou,MR,20.931,-17.0347,64.98,86,100,20.6,overcast clouds
108,Gold Coast,AU,-28.0,153.4333,69.87,92,2,6.91,clear sky
109,Alofi,NU,-19.0595,-169.9187,80.49,89,75,10.36,broken clouds
110,Panzhihua,CN,26.5851,101.7128,61.16,85,100,3.24,overcast clouds
111,Komsomolskiy,UZ,40.4272,71.7189,66.92,63,95,4.61,moderate rain
112,Katsuura,JP,35.1333,140.3,58.53,76,98,13.0,light rain
113,Abalak,RU,58.1286,68.5944,33.76,96,99,5.77,overcast clouds
114,College,US,64.8569,-147.8028,43.09,31,0,11.5,clear sky
115,Kruisfontein,ZA,-34.0033,24.7314,65.88,95,1,6.4,clear sky
116,Nara,JP,34.6851,135.8049,52.5,36,8,3.18,clear sky
117,Megion,RU,61.0296,76.1136,33.82,98,100,8.95,overcast clouds
118,Botwood,CA,49.1499,-55.3482,42.91,52,100,7.43,overcast clouds
119,Carnarvon,AU,-24.8667,113.6333,64.47,72,24,9.22,few clouds
120,Vankleek Hill,CA,45.5168,-74.6493,38.12,98,100,12.97,overcast clouds
121,Sur,OM,22.5667,59.5289,82.38,63,0,9.33,clear sky
122,San Lawrenz,MT,36.0553,14.204,56.86,85,0,1.99,clear sky
123,Benxi,CN,41.2886,123.765,57.52,62,0,9.46,clear sky
124,Virginia Beach,US,36.8529,-75.978,58.05,36,40,14.97,scattered clouds
125,Otofuke,JP,42.9917,143.2003,40.08,53,0,1.77,clear sky
126,Rocky Mountain House,CA,52.3668,-114.9188,33.75,98,100,9.78,snow
127,Rawson,AR,-43.3002,-65.1023,66.25,37,79,1.45,broken clouds
128,Iquitos,PE,-3.7481,-73.2472,82.44,78,40,5.75,scattered clouds
129,Teya,RU,60.3778,92.6267,14.54,98,100,3.67,overcast clouds
130,Onega,RU,63.9061,38.1404,34.57,99,99,3.51,overcast clouds
131,Flinders,AU,-34.5833,150.8552,63.18,73,11,15.99,few clouds
132,Sorland,NO,67.667,12.6934,43.75,88,20,11.97,few clouds
133,Husavik,IS,66.0449,-17.3389,32.31,92,88,3.94,overcast clouds
134,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,85.68,45,92,15.59,overcast clouds
